doc_id,neighbor_doc_id,similarity,rank
Isaiah_39,1 Kings,0.5764642949334503,4
Isaiah_39,2 Samuel,0.570690852920155,5
Isaiah_39,Isaiah_1_35,0.5697742547937391,6
Isaiah_39,1 Samuel,0.5682242356609739,7
Isaiah_39,Isaiah_40_55,0.560960458938723,8
Isaiah_39,Ezekiel,0.5584774438463526,9
Isaiah_39,Isaiah_56_66,0.5569249978163112,10
Isaiah_40,Isaiah_40_55,0.750575275835549,1
Isaiah_40,Isaiah_1_35,0.6994395283843473,2
Isaiah_40,Isaiah_56_66,0.6782295942981365,3
Isaiah_40,Job,0.6748346884286468,4
Isaiah_40,Jeremiah,0.6731723756142249,5
Isaiah_40,Amos,0.6639357351797809,6
Isaiah_40,Ezekiel,0.6609130523765935,7
Isaiah_40,Psalms,0.6503133792917015,8
Isaiah_40,Hosea,0.6483193504339937,9
Isaiah_40,Proverbs,0.644835641841712,10
Isaiah_41,Isaiah_40_55,0.7807902136657706,1
Isaiah_41,Isaiah_56_66,0.6845457686145322,2
Isaiah_41,Jeremiah,0.6772355589015926,3
Isaiah_41,Ezekiel,0.6730283885954045,4
Isaiah_41,Isaiah_1_35,0.6727690198169934,5
Isaiah_41,Hosea,0.6659637773618416,6
Isaiah_41,Psalms,0.6626519940619439,7
Isaiah_41,Job,0.6599177227805806,8
Isaiah_41,Amos,0.6590515753845311,9
Isaiah_41,1 Kings,0.6354111352235673,10
Isaiah_42,Isaiah_40_55,0.7490923337401719,1
Isaiah_42,Isaiah_56_66,0.6759952389040756,2
Isaiah_42,Isaiah_1_35,0.6663090249428409,3
Isaiah_42,Hosea,0.6641489433577584,4
Isaiah_42,Psalms,0.6635818548015832,5
Isaiah_42,Job,0.6619426807748073,6
Isaiah_42,Jeremiah,0.6595934208192988,7
Isaiah_42,Ezekiel,0.6489165421023005,8
Isaiah_42,Amos,0.647737697140209,9
Isaiah_42,1 Samuel,0.6179067582102361,10
Isaiah_43,Isaiah_40_55,0.768781576190455,1
Isaiah_43,Isaiah_56_66,0.6771599156227166,2
Isaiah_43,Psalms,0.6766587076644662,3
Isaiah_43,Jeremiah,0.6585247695240052,4
Isaiah_43,Ezekiel,0.6559199574077339,5
Isaiah_43,Hosea,0.650427855796939,6
Isaiah_43,Job,0.6489820199328797,7
Isaiah_43,Isaiah_1_35,0.6379952990336955,8
Isaiah_43,Amos,0.6345004100507778,9
Isaiah_43,Isaiah_36_39,0.6164777733859073,10
Isaiah_44,Isaiah_40_55,0.78255511975898,1
Isaiah_44,Isaiah_56_66,0.6815495944066947,2
Isaiah_44,Jeremiah,0.6801917479426921,3
Isaiah_44,Isaiah_1_35,0.6791938283414158,4
Isaiah_44,Ezekiel,0.6770585918970379,5
Isaiah_44,Amos,0.6623734638954455,6
Isaiah_44,Job,0.6582296883547536,7
Isaiah_44,Hosea,0.6544479771417185,8
Isaiah_44,Psalms,0.6440893551259806,9
