feature_class,feature_variant,doc_id,neighbor_doc_id,similarity,rank
char,char4,Isaiah_25,Poetic/Wisdom,0.6149881328541609,2
char,char4,Isaiah_25,Narrative,0.5341127445513365,3
char,char4,Isaiah_26,Poetic/Wisdom,0.6963689108120268,1
char,char4,Isaiah_26,Prophetic,0.6741928912874814,2
char,char4,Isaiah_26,Narrative,0.5691391589073921,3
char,char4,Isaiah_27,Prophetic,0.6881595000626242,1
char,char4,Isaiah_27,Poetic/Wisdom,0.6376836169870731,2
char,char4,Isaiah_27,Narrative,0.600950701961478,3
char,char4,Isaiah_28,Prophetic,0.6474898996664052,1
char,char4,Isaiah_28,Poetic/Wisdom,0.6333225792893972,2
char,char4,Isaiah_28,Narrative,0.5745196272179919,3
char,char4,Isaiah_29,Prophetic,0.71583244259402,1
char,char4,Isaiah_29,Poetic/Wisdom,0.6816680765289872,2
char,char4,Isaiah_29,Narrative,0.6315107759238624,3
char,char4,Isaiah_30,Prophetic,0.8164526363588951,1
char,char4,Isaiah_30,Poetic/Wisdom,0.7589559945661403,2
char,char4,Isaiah_30,Narrative,0.7134968506006732,3
char,char4,Isaiah_31,Prophetic,0.6303573854240335,1
char,char4,Isaiah_31,Poetic/Wisdom,0.583238797104383,2
char,char4,Isaiah_31,Narrative,0.5585591472279712,3
char,char4,Isaiah_32,Prophetic,0.5975161007640984,1
char,char4,Isaiah_32,Poetic/Wisdom,0.5667018749164309,2
char,char4,Isaiah_32,Narrative,0.4998052938938106,3
char,char4,Isaiah_33,Prophetic,0.6597541884407527,1
char,char4,Isaiah_33,Poetic/Wisdom,0.6435467962323126,2
char,char4,Isaiah_33,Narrative,0.5365105826296217,3
char,char4,Isaiah_34,Prophetic,0.7163098828412713,1
char,char4,Isaiah_34,Poetic/Wisdom,0.6391621504635093,2
char,char4,Isaiah_34,Narrative,0.6051076811601962,3
char,char4,Isaiah_35,Prophetic,0.6128008647904474,1
char,char4,Isaiah_35,Poetic/Wisdom,0.5492854076773289,2
char,char4,Isaiah_35,Narrative,0.5032415322932527,3
char,char4,Isaiah_36,Narrative,0.5997771265490494,1
char,char4,Isaiah_36,Prophetic,0.5906070886569437,2
char,char4,Isaiah_36,Poetic/Wisdom,0.5376492657903977,3
char,char4,Isaiah_37,Prophetic,0.7665658157913708,1
char,char4,Isaiah_37,Narrative,0.7584904001839472,2
char,char4,Isaiah_37,Poetic/Wisdom,0.6973545571185028,3
