corpus_id,doc_id,feature_set,neighbor_section,top5_count,similarity_sum,weighted_similarity_sum
KJV,Psalms_46,function_words,Psalms,4,2.8868249336785494,12.07676168724231
KJV,Psalms_46,pos3,Psalms,8,4.965122235876689,17.42486043142105
KJV,Psalms_46,word3,Psalms,5,4.486555384221402,13.506823986859676
KJV,Psalms_47,char3,Psalms,8,4.789414168206184,16.55260374542744
KJV,Psalms_47,char4,Psalms,9,5.393933482470164,17.130664291399267
KJV,Psalms_47,function_words,Psalms,9,5.4002229289198755,18.26992473342164
KJV,Psalms_47,pos3,Psalms,6,4.301688879911165,15.71359991211822
KJV,Psalms_47,word3,Psalms,8,4.95516858500743,15.261983139824041
KJV,Psalms_48,char3,Psalms,6,3.3605664473592234,10.115348817211943
KJV,Psalms_48,char4,Psalms,6,4.069396183375115,11.48297959468759
KJV,Psalms_48,function_words,Psalms,8,5.439469907828713,16.47066503271047
KJV,Psalms_48,pos3,Psalms,8,5.38368504259407,17.408147837185656
KJV,Psalms_48,word3,Psalms,7,4.661651165183401,14.234201974667604
KJV,Psalms_49,char3,Isaiah_1_35,2,1.6389496174703857,5.736468883912364
KJV,Psalms_49,char4,Psalms,5,3.5837089852140833,10.868126033609176
KJV,Psalms_49,function_words,Job,3,2.1521352388039006,5.739810320257936
KJV,Psalms_49,pos3,Psalms,9,6.4640625640007485,20.285453262505168
KJV,Psalms_49,word3,Psalms,10,4.881294074441673,14.748455006010644
KJV,Psalms_5,char3,Psalms,5,3.0940761403955093,11.617616059125883
KJV,Psalms_5,char4,Psalms,8,5.137136907777654,15.52358757855949
KJV,Psalms_5,function_words,Psalms,8,5.349472971848525,17.51012535232041
KJV,Psalms_5,pos3,Isaiah_1_35,2,1.538595192854027,5.299540001557121
KJV,Psalms_5,word3,Psalms,9,5.037890536936301,15.55493789242116
KJV,Psalms_50,char3,Jeremiah,3,1.935159706103898,4.444550621666575
KJV,Psalms_50,char4,Psalms,5,3.603795778797453,10.918704122465563
KJV,Psalms_50,function_words,Jeremiah,2,1.3957794078677859,6.085010923458533
KJV,Psalms_50,pos3,Psalms,10,7.094719971840687,21.455763533126095
KJV,Psalms_50,word3,Psalms,5,4.2794874964024645,12.887576395432228
KJV,Psalms_51,char3,Psalms,5,2.9239186696353414,8.573134782504415
KJV,Psalms_51,char4,Psalms,7,4.3781378510938875,12.432751563971784
KJV,Psalms_51,function_words,Psalms,9,6.380398666606167,20.2576532857972
KJV,Psalms_51,pos3,Psalms,4,2.4922902944350644,9.260915486688285
KJV,Psalms_51,word3,Psalms,9,4.9510111484786625,15.246928989287026
KJV,Psalms_52,char3,Psalms,8,4.7257415994350485,16.27216860714468
KJV,Psalms_52,char4,Psalms,9,5.314371867710572,16.883286131376085
KJV,Psalms_52,function_words,Psalms,3,1.643452105624513,4.548507341661795
KJV,Psalms_52,pos3,Psalms,4,2.4931282898225233,7.121859276705798
KJV,Psalms_52,word3,Psalms,8,5.022146936141366,15.59287241702506
KJV,Psalms_53,char3,Psalms,5,3.2944897912803865,13.316658965854934
KJV,Psalms_53,char4,Psalms,6,4.7223097293782885,16.058899693991364
KJV,Psalms_53,function_words,Psalms,4,2.0165516410120756,8.896473606802841
KJV,Psalms_53,pos3,Psalms,7,4.753760102812243,16.366017956869232
KJV,Psalms_53,word3,Psalms,7,5.340293409478549,17.256889767902585
KJV,Psalms_54,char3,Psalms,10,5.542078274165048,16.74048620046659
KJV,Psalms_54,char4,Psalms,10,5.457005646840614,16.52699414981501
KJV,Psalms_54,function_words,Psalms,8,5.331738599931745,17.04009900966031
KJV,Psalms_54,pos3,Psalms,7,4.898209496252301,14.793820431031765
KJV,Psalms_54,word3,Psalms,9,4.979763767025347,15.176392260707344
KJV,Psalms_55,char3,Ezekiel,3,1.8823364538389475,5.110590386985717
KJV,Psalms_55,char4,Psalms,6,4.000431811118145,11.116855851271637
KJV,Psalms_55,function_words,Psalms,2,1.794693276533894,6.314757817843766
KJV,Psalms_55,pos3,Psalms,5,3.4026913925172813,10.317454336881045
KJV,Psalms_55,word3,Psalms,6,4.545151109752503,13.684284111603807
KJV,Psalms_56,char3,Psalms,8,4.447380171182745,15.389253628457253
KJV,Psalms_56,char4,Psalms,7,4.4041919885667555,14.131384354400794
KJV,Psalms_56,function_words,Psalms,10,5.54937702513574,16.76826622471035
KJV,Psalms_56,pos3,Psalms,8,5.400619911995548,14.285272544352202
KJV,Psalms_56,word3,Psalms,10,5.142070443344856,15.530275348583537
KJV,Psalms_57,char3,Psalms,7,4.009027358534502,13.508241921281186
KJV,Psalms_57,char4,Psalms,7,4.6590148977963395,15.098589752657068
KJV,Psalms_57,function_words,Psalms,10,5.9378614181825995,17.93154390054883
KJV,Psalms_57,pos3,Psalms,5,3.2541318242626316,9.811392511071993
KJV,Psalms_57,word3,Psalms,10,5.721845136257219,18.04054347062886
KJV,Psalms_58,char3,Psalms,6,3.163748888197855,11.102418811584865
KJV,Psalms_58,char4,Psalms,6,3.9760520246681006,12.955097205412322
